Jump (Days),8D Err (km),6D Err (km),Δ Err (km),Trace²,M²
10,4.63,3.26,-1.38,4.0000000306,3.0622e-08
33,120.00,113.16,-6.84,4.0000000711,7.1141e-08
62,409.17,392.92,-16.24,4.0000002899,2.8991e-07
80,102.01,88.33,-13.68,4.0000000605,6.0515e-08
117,324.79,282.42,-42.38,4.0000000536,5.3577e-08
127,317.18,278.77,-38.41,4.0000001202,1.2017e-07
154,655.06,698.20,43.14,4.0000002077,2.0769e-07
249,2317.53,2395.82,78.29,4.0000001069,1.0691e-07
275,1397.15,1506.33,109.18,4.0000000305,3.0516e-08
290,1862.65,1965.46,102.81,4.0000000451,4.5052e-08
292,1980.45,2081.62,101.17,4.0000000505,5.0517e-08
297,2313.37,2410.37,96.99,4.0000000717,7.1656e-08
324,3341.18,3427.53,86.35,4.0000003268,3.2683e-07
347,2015.40,2139.77,124.37,4.0000000495,4.9454e-08
350,1920.85,2050.71,129.86,4.0000000420,4.2047e-08
379,2422.33,2561.08,138.75,4.0000000477,4.7702e-08
411,794.61,875.27,80.66,4.0000003428,3.4282e-07
634,1339.85,1568.25,228.40,4.0000000331,3.3145e-08
692,587.64,752.92,165.27,4.0000000811,8.1075e-08
694,530.33,694.96,164.63,4.0000000691,6.9054e-08
822,623.19,846.77,223.59,4.0000000582,5.8213e-08
842,2115.40,1911.92,-203.48,4.0000003184,3.1840e-07
852,2761.45,2532.68,-228.78,4.0000003235,3.2353e-07
856,2685.19,2447.77,-237.42,4.0000002426,2.4257e-07
857,2640.08,2400.75,-239.33,4.0000002223,2.2234e-07
877,1122.83,1001.53,-121.31,4.0000000438,4.3798e-08
896,458.92,769.40,310.49,4.0000000318,3.1842e-08
948,1886.71,1626.73,-259.98,4.0000001677,1.6770e-07
973,649.68,772.83,123.15,4.0000000326,3.2618e-08
1012,830.60,636.66,-193.94,4.0000001990,1.9901e-07
1121,556.94,292.11,-264.83,4.0000002205,2.2052e-07
1134,840.89,590.09,-250.80,4.0000000682,6.8245e-08
1188,1200.35,928.04,-272.31,4.0000002001,2.0015e-07
1251,1375.98,1016.62,-359.36,4.0000000342,3.4238e-08
1340,1190.04,983.69,-206.35,4.0000000353,3.5342e-08
1386,1391.10,1340.62,-50.48,4.0000001996,1.9963e-07
